Field Name,Value
variants.variant.34.size,128
variants.variant.34.available,10-50
variants.variant.34.free_stock,26
variants.variant.34.incoming,0
variants.variant.34.mfstock,4968
variants.variant.34.outlet_discount_percent,
variants.variant.34.leaving,0
variants.variant.35.code,1033040140
variants.variant.35.recommended_retail_price,4.50
variants.variant.35.recommended_retail_price_brutto,5.65
variants.variant.35.wholesale_price,
variants.variant.35.discount,0.00
variants.variant.35.vat,25.50
variants.variant.35.currency,EUR
variants.variant.35.color,40
variants.variant.35.hexcolors.hexcolor,#e2002e
variants.variant.35.color_name,Red
variants.variant.35.size,140
variants.variant.35.available,50-100
variants.variant.35.free_stock,94
variants.variant.35.incoming,0
variants.variant.35.mfstock,4968
variants.variant.35.outlet_discount_percent,
variants.variant.35.leaving,0
variants.variant.36.code,1033040152
variants.variant.36.recommended_retail_price,4.50
variants.variant.36.recommended_retail_price_brutto,5.65
variants.variant.36.wholesale_price,
variants.variant.36.discount,0.00
variants.variant.36.vat,25.50
variants.variant.36.currency,EUR
variants.variant.36.color,40
variants.variant.36.hexcolors.hexcolor,#e2002e
variants.variant.36.color_name,Red
variants.variant.36.size,152
variants.variant.36.available,> 100
variants.variant.36.free_stock,106
variants.variant.36.incoming,0
variants.variant.36.mfstock,8532
variants.variant.36.outlet_discount_percent,
